Français,Español,IPA
énorme,enorme,enɔʁm
sœur,hermana,sœʁ
acier,acero,asje
discuter,discutir,diskyte
avant,antes,avɑ̃
similaire,similar,similɛʁ
guider,guiar,ɡide
expérience,experiencia,ɛkspeʁjɑ̃s
score,puntuación,skɔʁ
pomme,manzana,pɔm
acheté,comprado,ʃte
LED,LED,ɛl.e.de
pas,no,pa
manteau,abrigo,mɑ̃to
masse,masa,mɑs
carte,tarjeta,kaʁt
bande,tira,band
corde,cuerda,kɔʁd
glissement,deslizamiento,ɡlis.mɑ̃
gagner,ganar,ɡaɲe
rêver,soñar,ʁɛve
soirée,noche,sɔʁe
condition,condición,kɔ̃dɪsjɔ̃
alimentation,alimentación,alimɑ̃tasjɔ̃
outil,herramienta,u.til
total,total,to.tal
de base,de base,dəbaz
odeur,olor,ɔdœʁ
vallée,valle,va.le
ni,ni,ni
double,doble,dubl
siège,asiento,sjɛʒ
continuer,continuar,kɔ̃tinɥe
bloc,bloque,blok
graphique,gráfico,ɡʁafik
chapeau,sombrero,ʃapo
vendre,vender,vɑ̃dʁ
succès,éxito,syksɛs
entreprise,empresa,ɑ̃tʁəpʁiz
soustraire,restar,sustʁɛʁ
événement,evento,events
particulier,particular,paʁtikylje
accord,acuerdo,akɔʁ
baignade,baño,bajnad
terme,término,teʁm
opposé,opuesto,ɔpoze
femme,mujer,fam
chaussure,zapato,ʃosyʁ
épaule,hombro,epɔl
propagation,propagación,pʁɔpaɡasjɔ̃
organiser,organizar,ɔʁɡanize
camp,campo,kɑ̃
inventer,inventar,ɛ̃vɑ̃te
coton,algodón,kɔtɔ̃
né,nacido,ne
déterminer,determinar,detɛʁmine
litre,litro,litr
neuf,nueve,nœf
camion,camión,kamjɔ̃
bruit,ruido,bʁɥi
niveau,nivel,nivo
chance,oportunidad,ʃɑ̃s
recueillir,recolectar,ʁəkœjiʁ
boutique,tienda,butik
tronçon,sección,tʁɔ̃sɔ̃
jeter,tirar,ʒəte
éclat,brillo,ekla
propriété,propiedad,pʁɔpʁijete
colonne,columna,kɔlɔn
molécule,molécula,mɔlekyl
sélectionner,seleccionar,seleksjɔne
mal,mal,mal
gris,gris,ɡʁi
répétition,repetición,ʁepetisjɔ̃
exiger,exigir,ɛɡziʒe
large,ancho,laʁʒ
préparer,preparar,pʁepaʁe
sel,sal,sɛl
nez,nariz,ne
pluriel,plural,plyʁjɛl
colère,enojo,kɔlɛʁ
revendication,reclamación,ʁəvɑ̃dikasjɔ̃
