Português,Español,IPA
moderno,moderno,mo.ˈdɛɾ.nu
elemento,elemento,e.li.ˈmẽ.tu
acertar,acertar,a.seɾ.ˈtaʁ
estudante,estudiante,es.tu.ˈdã.tʃi
canto,canto,ˈkã.tu
festa,fiesta,ˈfjɛs.tɐ
fornecimento,suministro,foɾ.nɛ.si.ˈmintu
cuja,cuyo,ˈku.ʒɐ
localizar,localizar,lo.ka.li.ˈzaʁ
anel,anillo,a.ˈneʎu
caráter,carácter,ka.ˈɾa.tʃi
inseto,insecto,ĩ.ˈseʧ.tu
capturados,capturados,kap.tu.ˈɾa.dus
período,período,pe.ˈɾi.u.du
indicam,indican,ĩ.d͡ʒi.ˈkã
rádio,radio,ˈʁa.dʒi.u
falou,habló,fa.ˈloʊ
átomo,átomo,ˈa.to.mu
humano,humano,u.ˈma.nu
história,historia,is.ˈto.ɾjɐ
efeito,efecto,e.ˈfej.tu
elétrica,eléctrica,e.ˈlɛt.ɾi.kɐ
esperar,esperar,es.pe.ˈɾaʁ
osso,hueso,ˈo.su
trilho,vía,ˈtɾi.ʎu
imaginar,imaginar,i.ma.ʒi.ˈnaʁ
fornecer,suministrar,foɾ.nɛ.ˈseʁ
concordar,concordar,kõ.kũ.ˈdaʁ
assim,así,a.ˈsĩ
suave,suave,su.ˈavʲi
mulher,mujer,mu.ˈʎeʁ
capitão,capitán,ka.pi.ˈtãw̃
acho que,creo que,ˈa.ʃu ki
necessário,necesario,nesesɐ.ˈɾju
sharp,afilado,ˈʃaɾpu
asa,ala,ˈa.sɐ
criar,crear,kɾi.ˈaʁ
vizinho,vecino,vi.ˈzi.ɲu
lavagem,lavado,la.ˈvaʒẽj
bat,murciélago,ˈbatʲ
vez,vez,ˈvɛz
multidão,multitud,mul.ti.ˈdũw̃
milho,maíz,mĩ.ʎu
comparar,comparar,kõ.pa.ˈɾaʁ
poema,poesía,ˈpo.e.mu
corda,cuerda,ˈkoɾ.dɐ
sino,signo,ˈsi.nu
dependem,dependen,de.ˈpẽ.dẽj
carne,carne,ˈkaʁ.ni
esfregar,frotar,es.fɾe.ˈɡaʁ
tubo,tubo,ˈtu.bu
famoso,famoso,fa.ˈmo.zu
dólar,dólar,ˈdo.laʁ
córrego,arroyo,ˈkoʁe.ɡu
medo,miedo,ˈme.du
vista,vista,ˈviʃ.tɐ
fina,fina,ˈfi.nɐ
triângulo,triángulo,tɾi.ˈã.ɡu.lu
planeta,planeta,pla.ˈne.tɐ
apressar,apresurar,apɾe.ˈzaʁ
chefe,jefe,ˈʃe.fi
colônia,colonia,ko.ˈlɔ.ni.ɐ
relógio,reloj,re.ˈlo.ʒi.u
mina,mina,ˈmi.nɐ
amarrar,atar,a.ma.ˈʁaʁ
introduzir,introducir,ĩ.tɾo.du.ˈziʁ
maior,mayor,ma.ˈjoʁ
fresco,fresco,ˈfɾeʃ.ku
pesquisa,investigación,pe.ˈzi.kɐ
enviar,enviar,ẽ.vi.ˈjaʁ
amarelo,amarillo,ama.ˈʁi.ʎu
pistola,pistola,piʃ.ˈto.lɐ
permitir,permitir,peɾ.mi.ˈtiʁ
impressão,impresión,ĩ.pɾe.ˈsɐ̃w̃
morto,muerto,ˈmoʁ.tu
local,lugar,lo.ˈkal
deserto,desierto,de.ˈzej.to
terno,terno,ˈteʁ.nu
atual,actual,ak.ˈtu.aʊ̯
elevador,elevador,e.le.ˈva.doʁ
aumentou,aumentó,aw.mẽ.ˈtoʊ̯
chegar,llegar,ʃe.ˈɡaʁ
mestre,maestro,ˈmeʃ.tɾi
trilha,sendero,ˈtɾi.ʎɐ
pai,padre,ˈpa.i
costa,costa,ˈkɔs.tɐ
divisão,división,di.vi.ˈzɐ̃w̃
folha,hoja,ˈfo.ʎɐ
substância,sustancia,suʃ.ˈtɐ̃.si.ɐ
favorecer,favorecer,fa.vo.ɾe.ˈseʁ
conectar,conectar,kõ.nek.ˈtaʁ
pós,post,ˈpɔs
passar,pasar,pa.ˈsaʁ
acorde,acorde,a.ˈkoɾ.dʒi
gordura,grasa,ɡoɾ.ˈdu.ɾɐ
feliz,feliz,fe.ˈliʒ
original,original,o.ɾi.ʒi.ˈnaʊ̯
share,compartir,ʃɛɾ
estação,estación,es.ta.ˈsjõw̃
pai,padre,ˈpa.i
pão,pan,pãw̃
cobrar,cobrar,ko.ˈbɾaʁ
adequada,adecuado,a.de.ˈkwa.du
bar,bar,ˈbaʁ
oferta,oferta,o.ˈfeɾ.tɐ
segmento,segmento,se.ɡ.ˈmẽ.tu
escravo,esclavo,es.ˈkla.vu
pato,pato,ˈpa.tu
instante,instante,ĩ.ˈstã.tʃi
mercado,mercado,meɾ.ˈka.du
grau,grado,ɡɾaw
preencher,llenar,ple.ˈɛ̃.ʃeʁ
pinto,pinto,ˈpĩ.tu
caro,caro,ˈka.ɾu
inimigo,enemigo,e.nẽ.ˈmi.ɡu
responder,responder,ʁe.spon.ˈdeʁ
bebida,bebida,be.ˈbi.dɐ
ocorrer,ocurrir,o.ku.ˈʁiʁ
apoio,apoyo,a.ˈpo.ju
discurso,discurso,dis.ˈkuʁ.su
natureza,naturaleza,na.tu.ˈɾe.zɐ
gama,gama,ˈɡɐ.mɐ
vapor,vapor,va.ˈpoʁ
movimento,movimiento,mo.vi.ˈmẽ.tu
caminho,camino,ka.ˈmi.ɲu
líquido,líquido,ˈli.ki.du
log,tronco,loɡ
significava,significaba,si.ɡ.ni.ˈfi.ka.vɐ
quociente,cociente,ko.ˈʃjẽ.tʃi
dentes,dientes,ˈdẽ.tʃis
casca,cáscara,ˈkaʃ.kɐ
pescoço,cuello,ˈpeʃ.ku
oxigênio,oxígeno,o.ʃi.ˈʒẽ.ju
açúcar,azúcar,a.ˈsu.kaʁ
morte,muerte,ˈmoʁ.tʃi
bastante,bastante,bas.ˈtã.tʃi
habilidade,habilidad,a.bi.li.ˈda.dʒi
mulheres,mujeres,mu.ˈʒeɾɪs
temporada,temporada,tem.po.ˈɾa.dɐ
solução,solución,so.lu.ˈsɐ̃w̃
ímã,imán,i.ˈmã
prata,plata,ˈpla.tɐ
obrigado,gracias,o.bɾi.ˈɡa.du
ramo,rama,ˈʁɐ.mu
jogo,juego,ˈʒɛ.ɡu
sufixo,sufijo,su.ˈfi.ʃu
especialmente,especialmente,e.spe.si.al.ˈmẽ.tʃi
figo,higo,ˈfi.ɡu
medo,miedo,ˈme.du
enorme,enorme,e.nɔʁ.mi
irmã,hermana,iʁ.ˈmã
aço,acero,a.ˈse.ɾu
discutir,discutir,di.ʃu.ˈtiʁ
para a frente,hacia adelante,a.ˈsi.ɔn.tʃi
similar,similar,si.mi.ˈlaʁ
orientar,orientar,o.ɾi.ẽ.ˈtaʁ
experiência,experiencia,eʃ.pe.ɾi.ˈẽ.sjɐ
contagem,cuenta,kõ.ˈtaʒẽj
maçã,manzana,mɐ.ˈsã
comprou,compró,kõ.ˈpɾo
conduziu,condujo,kõ̃.ˈdu.zju
campo,campo,ˈkã.pu
casaco,abrigo,ka.ˈza.ku
massa,massa,ˈmasɐ
cartão,tarjeta,kaʁ.ˈtɐ̃w̃
banda,banda,ˈbã.dɐ
corda,cuerda,ˈkoɾ.dɐ
deslizamento,deslizamiento,dez.li.za.ˈmẽ.tu
vitória,victoria,vi.ˈtɔ.ɾi.ɐ
sonhar,soñar,so.ˈɲaʁ
noite,noche,ˈnoi.tʃi
condição,condición,kõ.di.ˈsɐ̃w̃
alimentação,alimentación,a.li.mẽ.ta.ˈsɐ̃w̃
ferramenta,herramienta,e.ʁɐ.mẽ.ˈta
total de,total de,to.ˈtal dʒi
básico,básico,ˈba.zi.ku
cheiro,olor,ˈʃej.ɾu
vale,valle,ˈva.li
nem,ni,nẽ
duplo,doble,ˈdu.plu
assento,asiento,a.ˈsẽ.tu
continuar,continuar,kõ.ti.nu.ˈaʁ
bloco,bloque,ˈblɔ.ku
gráfico,gráfico,ˈɡɾa.fi.ku
chapéu,sombrero,ʃa.ˈpeu
vender,vender,vẽ.ˈdeʁ
sucesso,éxito,su.ˈse.su
companhia,compañía,kõ.pa.ˈɲi.ɐ
subtrair,restar,sub.ˈtɾa.iʁ
evento,evento,e.ˈvẽ.tu
especial,especial,e.spes.ˈjal
negócio,negocio,neɡ.ˈɡi.u
mergulho,buceo,meɾ.ˈɡu.ʎu
prazo,plazo,ˈpɾa.zu
oposto,opuesto,o.ˈpɔs.tu
esposa,esposa,es.ˈpo.zɐ
sapato,zapato,sa.ˈpa.tu
ombro,hombro,ˈõ.bɾu
propagação,propagación,pɾu.pa.ɡa.ˈsɐ̃w̃
organizar,organizar,oɾ.ɡɐ.ˈni.zaʁ
acampamento,campamento,kã.pa.ˈmẽ.tu
inventar,inventar,ĩ.ven.ˈtaʁ
algodão,algodón,aw.ɡo.ˈdõw̃
Nascido,nacido,na.ˈsi.du
determinar,determinar,de.tẽ.mi.ˈnaʁ
quarto,cuarto,ˈkwaʁ.tu
nove,nueve,ˈno.vi
caminhão,camión,ka.mi.ˈɲõw̃
ruído,ruido,ˈʁwi.du
nível,nivel,ˈni.vɛw̃
oportunidade,oportunidad,o.por.tu.ni.ˈda.dʒi
recolher,recojer,he.ko.ˈʎeʁ
loja,tienda,ˈlɔ.ʒɐ
trecho,sección,ˈtɾe.ʃu
jogar,jugar,ʒu.ˈɡaʁ
brilho,brillo,ˈbɾi.ʎu
propriedade,propiedad,pɾu.pɾi.e.ˈda.dʒi
coluna,columna,ko.ˈlu.nɐ
molécula,molécula,mo.ˈlɛ.ku.lɐ
selecione,seleccionar,sɛ.le.si.ˈo.naʁ
errado,equivocado,e.ˈʁa.du
cinza,gris,ˈsĩ.za
repetição,repetición,ʁe.pe.ti.ˈsɐ̃w̃
exigir,exigir,e.ʒi.ˈʒiʁ
amplo,amplio,ɐ̃p.ˈlju
preparar,preparar,pe.ˈpa.ɾaʁ
sal,sal,ˈsaw̃
nariz,nariz,na.ˈɾis
plural,plural,ˈplu.ɾaw̃
raiva,ira,i.ˈɾa
reivindicação,reclamación,ʁej.vĩ.dʒi.ˈka.sɐ̃w̃
continente,continente,kõ.ti.ˈnẽ.tʃi
