Work,Trabajar,wɜrk
Worked,Trabajó,wɜrkt
Working,Trabajando,ˈwɜrkɪŋ
Works,Obras,wɜrks
World,Mundo,wɜrld
Worried,Preocupado,ˈwɜrid
Worry,Preocuparse,ˈwʌri
Worse,Peor,wɜrs
Worth,Valer,wɜrθ
Would,Querría,wʊd
Write,Escribir,raɪt
Wrong,Equivocado,rɔŋ
Year,Año,jɪr
Yes,Sí,jɛs
Yesterday,Ayer,ˈjɛstərˌdeɪ
Yet,Todavía,jɛt
You,Tú,jʊ
Young,Joven,jʌŋ
Your,Tu,jʊr
Yours,Tuyo,jʊrz
Yourself,Tú mismo,jɔrˈsɛlf
