Italiano,Español,IPA
Semplice,Simple,ˈsem.ple.t͡ʃe
Semplicemente,Simplemente,sem.pli.t͡ʃeˈmen.te
Sempre,Siempre,ˈsɛmpre
Senso,Sentido,ˈsenso
Sente,Sentir,ˈsɛn.te
Senti,Sentir,ˈsɛnti
Sentire,Sentir,ˈsɛntire
Sentito,Sentido,ˈsɛntito
Sento,Siento,ˈsɛnto
Senza,Sin,ˈsɛntsa
Sera,Noche,ˈsera
Serata,Noche,seˈra.ta
Serio,Grave,ˈsɛrio
Serve,Atender,ˈserve
Servizio,Servicio,serˈvi.t͡ʃo
Servono,Necesidad,serˈvo.no
Sesso,Sexo,ˈsɛs.so
Sette,Siete,ˈsɛt.te
Settimana,Semana,settiˈmana
Settimane,Semanas,setˈti.ma.ne
Si,Sí,si
Sì,Sí,si
Sia,Es,sia
Siamo,Somos,ˈsjamo
Siano,Ellos son,ˈsja.no
Sicura,Seguro,siˈkura
Sicuramente,Seguramente,si.ku.raˈmen.te
Sicurezza,Seguridad,si.kuˈrettza
Sicuro,Seguro,ˈsikuro
Siete,Eres,ˈsjɛte
Significa,Significa,siɲɲiˈfika
Signor,Señor,siɲˈɲor
Signora,Dama,siɲˈɲora
Signore,Hidalgo,siɲˈɲore
Signori,Caballeros,siɲˈɲo.ri
Signorina,Extrañar,siɲɲoˈrina
Sistema,Sistema,ˈsis.te.ma
Situazione,Situación,si.tu.aˈt͡sjɔ.ne
Smettila,Para,sˈmet.ti.la
So,Sé,so
Sogno,Sueño,ˈsoɲ.ɲo
Sola,Solitario,ˈsɔla
Soldi,Dinero,ˈsoldi
Sole,Sol,sɔː.le
Solito,Habitual,soˈli.to
Solo,Solo,ˈsɔlo
Soltanto,Solo,ʃolˈtan.to
Sono,Soy,sono
Sopra,Arriba,ˈsopra
Sorella,Hermana,soˈrɛlla
Sorpresa,Sorpresa,sorˈpresa
Sotto,Bajo,ˈsotto
Spalle,Espalda,ˈspa.lle
Sparato,Disparo,sˈpa.ra.to
Speciale,Especial,spe.ˈt͡ʃa.le
Specie,Especies,ˈspe.t͡ʃe
Spero,Espero,ˈspɛro
Spesso,A menudo,sˈpɛs.so
Spiace,Desagradable,ˈspjaːtʃe
Squadra,Equipo,ˈskwadra
Sta,Es,sta
Stai,Eres,stai
Stanno,Ellos son,ˈstanːo
Stanza,Habitación,ˈstantsa
Stare,Quedarse,ˈstare
Stasera,Esta noche,staˈsera
Stata,Era,ˈstaːta
State,Estado,ˈstaːte
Stati,Estados,ˈstaːti
Stato,Estado,ˈstato
Stava,Era,ˈstava
Stavi,Ser,stav
Stavo,Era,ˈstaːvo
Stessa,Mismo,stesˈsa
Stessi,Mismo,stes.si
Stesso,Mismo,ˈstesso
Stia,Stia,stia
Stiamo,Somos,ˈstjamo
Sto,Este,stɔ
Storia,Historia,ˈstɔːrja
Strada,Calle,ˈstraːda
Strano,Extraño,ˈstrano
Stronzo,Estúpido,ˈstron.d͡zo
Studio,Estudiar,ˈstu.djo
Su,En,su
Sua,Su,sua
Subito,De inmediato,suˈbito
Succede,Ocurrir,sutˈʃɛːde
Succedendo,Subsiguiente,sut.t͡ʃeˈden.do
Successo,Éxito,sukˈtʃɛsso
Sue,Su,suːe
Sui,En,su.i
Sul,Sobre el,sul
Sulla,Sobre el,ˈsulla
Sulle,En,sul.le
Suo,Su,suo
Suoi,Su,suˈoi
Tante,Muchos,ˈtan.te
Tanti,Muchos,ˈtan.ti
Tanto,Mucho,ˈtanto
Tardi,Tarde,ˈtardi
Te,Tú,te
Telefono,Teléfono,teleˈfono
Tempo,Tiempo,ˈtɛmpo
Tenere,Sostener,teˈne.re
Terra,Tierra,ˈterra
Terribile,Horrible,terˈri.bi.le
Tesoro,Tesoro,teˈzoro
Testa,Cabeza,ˈtesta
Ti,Tú,ti
Tieni,Mantener,ˈtje.ni
Tipo,Chico,ˈtipo
Tizio,Chico,ˈtitsjo
Torna,Atrás,ˈtor.na
Tornare,Devolver,torˈnare
Tornato,Recuperar,torˈna.to
Torno,Atrás,ˈtor.no
Tra,Entre,tra
Traduzione,Traducción,tradutˈtsjone
Tratta,Trata con,ˈtratta
Tre,Tres,trɛ
Troppo,También,ˈtroppo
Trova,Hallazgos,ˈtro.va
Trovare,Encontrar,troˈvare
Trovato,Encontró,trɔˈvato
Trovo,Encuentro,ˈtro.vo
Tu,Tú,tu
Tua,Su,tua
Tue,Su,tue
Tuo,Su,tuo
Tutta,Toda,ˈtutta
Tutte,Todas,ˈtutte
Tutti,Todos,ˈtutti
Tutto,Todo,ˈtutto
Uccidere,Matar,ut͡ʃ.tiˈde.re
Ucciso,Delicado,utˈtʃizo
Ufficio,Oficina,ufˈfittʃo
Ultimo,Último,ˈultimo
Un,A,un
Una,A,una
Unica,Único,uˈnika
Unico,Único,uˈniko
Uno,Uno,ˈuno
Uomini,Hombres,uˈɔmini
Uomo,Hombre,ˈwɔmo
Usare,Usar,uˈza.re
Usato,Usado,uˈza.to
Uscire,Salir,uˈʃire
Uscita,Salida,uʃˈʃi.ta
Va,Va,va
Vada,Vaya,ˈva.da
Vado,Voy,ˈvado
Vai,Ir,vai
Vale,Valle,ˈva.le
Vanno,Ellos van,ˈvan.no
Vattene,Salir,ˌvatˈtɛ.ne
Ve,Ver,ve
Vecchia,Viejo,ˈvɛk.kja
Vecchio,Viejo,ˈvɛkkjo
Vede,Ver,ˈve.de
Vedere,Ver,veˈdɛre
Vederti,Nos vemos,veˈder.ti
Vedi,Verás,ˈvedi
Vediamo,Vemos,veˈdiamo
Vedo,Veo,ˈveːdo
Veloce,Rápido,veˈlo.t͡ʃe
Venga,Venir,ˈven.ɡa
Vengo,Yo voy,ˈven.ɡo
Venire,Venir,veˈnire
Venite,Venir,veˈni.te
Venuta,Próximo,veˈnu.ta
Venuto,Próximo,veˈnuto
Vera,Real,ˈve.ra
Veramente,Realmente,veraˈmente
Verita,Verdad,veˈri.ta
Verità,Verdad,veˈri.ta
Vero,Verdadero,ˈvero
Verso,Hacia,ˈverso
Vestito,Vestido,vesˈti.to
Vi,Tú,vi
Via,Calle,via
Viaggio,Viaje,ˈvja.ʤo
Vicino,Vecino,viˈtʃino
Video,Video,ˈvi.de.o
Viene,Él viene,ˈvjɛne
Vieni,Vienes,ˈvjɛni
Vista,Vista,ˈvista
Visto,Vista,ˈvisto
Vita,Vida,ˈvita
Vittima,Víctima,vitˈti.ma
Vivere,Vivir,viˈvere
Vivo,Yo vivo,ˈvi.vo
Voce,Voz,ˈvo.t͡ʃe
Voglia,Quiere,ˈvɔʎ.ʎa
Vogliamo,Queremos,vɔʎˈʎa.mo
Voglio,Quiero,ˈvɔʎʎo
Vogliono,Ellos quieren,volˈdʒo.no
Voi,Tú,voi
Volete,Quieres,voˈleːte
Voleva,Él quería,voˈleva
Volevi,Tú querías,voˈlɛ.vi
Volevo,Quise,voˈlevo
Volta,Tiempo,ˈvolta
Volte,Veces,ˈvolte
Voluto,Buscado,voˈlu.to
Vorrei,Me gustaría,vorˈrɛi
Vostri,Su,ˈvɔ.stri
Vostro,Su,ˈvostro
Vuoi,Quieres,vuˈoi
Vuole,Quiere,vuˈɔle
Wow,Guau,waʊ
York,York,jɔrk
Zio,Tío,ˈt͡sjo
Zitto,Callarse la boca,ˈdzit.to
Zona,Área,ˈt͡so.na
